/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 100, normalising constant 1.006050705909729 0.0008949041366577148
Epoch 200, normalising constant 1.0064071416854858 -0.0020807981491088867
Epoch 300, normalising constant 1.0061590671539307 0.027410447597503662
Epoch 400, normalising constant 1.0058242082595825 -0.030665874481201172
Epoch 500, normalising constant 1.005507230758667 0.017822980880737305
run 0 cop_u 0 DONE 2675.3528
Epoch 100, normalising constant 0.9964721202850342 0.0014961957931518555
Epoch 200, normalising constant 0.9958655834197998 0.00018996000289916992
Epoch 300, normalising constant 0.9952757954597473 0.0007278919219970703
Epoch 400, normalising constant 0.9937362670898438 0.002445042133331299
Epoch 500, normalising constant 0.9914084672927856 0.024196386337280273
run 0 cop_u 1 DONE 1936.602
Epoch 100, normalising constant 1.0013396739959717 0.0005575418472290039
Epoch 200, normalising constant 1.0006637573242188 0.0008161664009094238
Epoch 300, normalising constant 0.9992725849151611 0.002260863780975342
Epoch 400, normalising constant 0.9973751306533813 0.0013678669929504395
Epoch 500, normalising constant 0.9956297278404236 -0.013953804969787598
run 0 cop_u 2 DONE 1615.6359
Epoch 100, normalising constant 1.0056177377700806 0.007150411605834961
Epoch 200, normalising constant 1.0054166316986084 0.07091426849365234
Epoch 300, normalising constant 1.0050616264343262 0.03608572483062744
Epoch 400, normalising constant 1.0044140815734863 0.014636695384979248
Epoch 500, normalising constant 1.0041323900222778 -0.039104461669921875
run 0 cop_u 3 DONE 1464.6183
Epoch 100, normalising constant 1.0090086460113525 -0.0003363490104675293
Epoch 200, normalising constant 1.002169132232666 -0.0038527250289916992
Epoch 300, normalising constant 0.9982529282569885 0.034661293029785156
Epoch 400, normalising constant 0.9967116713523865 0.051372528076171875
Epoch 500, normalising constant 0.9963187575340271 -0.04345744848251343
run 1 cop_u 0 DONE 1051.8716
Epoch 100, normalising constant 0.9974448084831238 9.208917617797852e-05
Epoch 200, normalising constant 0.9958520531654358 0.0040999650955200195
Epoch 300, normalising constant 0.9946377277374268 -0.030222654342651367
Epoch 400, normalising constant 0.9935954213142395 0.023494422435760498
Epoch 500, normalising constant 0.9924118518829346 0.01425546407699585
run 1 cop_u 1 DONE 1851.4077
Epoch 100, normalising constant 1.0111017227172852 0.0012649297714233398
Epoch 200, normalising constant 1.0095531940460205 0.0013703703880310059
Epoch 300, normalising constant 1.0075335502624512 0.015946269035339355
Epoch 400, normalising constant 1.0061004161834717 -0.028700590133666992
Epoch 500, normalising constant 1.0051275491714478 0.0420147180557251
run 1 cop_u 2 DONE 1613.8013
Epoch 100, normalising constant 0.9903502464294434 0.020677149295806885
Epoch 200, normalising constant 0.9871200323104858 0.059697747230529785
Epoch 300, normalising constant 0.9855600595474243 -0.010701894760131836
Epoch 400, normalising constant 0.9841523170471191 -0.04979729652404785
Epoch 500, normalising constant 0.9830144643783569 -0.03679084777832031
run 1 cop_u 3 DONE 3581.1807
Epoch 100, normalising constant 1.0021048784255981 0.002192378044128418
Epoch 200, normalising constant 1.0006216764450073 -7.492303848266602e-05
Epoch 300, normalising constant 0.9994044303894043 0.0014278888702392578
Epoch 400, normalising constant 0.9981117844581604 -0.002132415771484375
